word,avg_green,avg_yellow,avg_grey,entropy,avg_green_scaled,avg_yellow_scaled,avg_grey_scaled,entropy_scaled,TYPE,GREEN,YELLOW,GREY,ENTROPY
galls,0.62,0.73,3.65,5.11,0.729,0.420,0.375,0.787,,,,,
gazes,0.69,0.93,3.38,5.43,0.812,0.534,0.250,0.837,,,,,
gelly,0.4,0.7,3.9,4.57,0.471,0.402,0.491,0.703,,,,,
genes,0.7,0.71,3.59,5.15,0.824,0.408,0.347,0.793,,,,,
genii,0.29,0.89,3.82,4.44,0.341,0.511,0.454,0.683,,,,,
germs,0.55,1.12,3.33,5.65,0.647,0.644,0.227,0.871,,,,,
gibes,0.64,0.94,3.42,5.57,0.753,0.540,0.269,0.859,,,,,
gimme,0.35,0.74,3.92,4.34,0.412,0.425,0.500,0.668,,,,,
gimpy,0.31,0.5,4.19,4.65,0.365,0.287,0.625,0.716,,,,,
glees,0.66,0.82,3.52,5.05,0.776,0.471,0.315,0.778,,,,,
glows,0.49,0.85,3.66,5.1,0.576,0.489,0.380,0.786,,,,,
graff,0.28,0.71,4.01,3.97,0.329,0.408,0.542,0.610,,,,,
groat,0.36,1.14,3.49,5.44,0.424,0.655,0.301,0.839,,,,,
grubs,0.48,0.79,3.73,5.08,0.565,0.454,0.412,0.783,,,,,
gulps,0.49,0.76,3.76,5.25,0.576,0.437,0.426,0.809,,,,,
hable,0.44,1.11,3.46,5.24,0.518,0.638,0.287,0.807,,,,,
hails,0.65,1,3.35,5.9,0.765,0.575,0.236,0.910,,,,,
haint,0.46,0.9,3.65,5.39,0.541,0.517,0.375,0.831,,,,,
halma,0.33,0.68,3.99,4.36,0.388,0.391,0.532,0.671,,,,,
halos,0.59,1.12,3.29,5.82,0.694,0.644,0.208,0.898,,,,,
halts,0.62,1.04,3.34,5.86,0.729,0.598,0.231,0.904,,,,,
hasps,0.55,0.68,3.78,4.74,0.647,0.391,0.435,0.730,,,,,
hawks,0.53,0.72,3.75,5.08,0.624,0.414,0.421,0.783,,,,,
hazes,0.69,0.96,3.36,5.43,0.812,0.552,0.241,0.837,,,,,
heaps,0.57,1.2,3.23,5.72,0.671,0.690,0.181,0.882,,,,,
hells,0.56,0.95,3.49,5.08,0.659,0.546,0.301,0.783,,,,,
hertz,0.32,1.03,3.65,4.64,0.376,0.592,0.375,0.714,,,,,
hewed,0.45,0.53,4.02,4.22,0.529,0.305,0.546,0.649,,,,,
hicks,0.48,0.74,3.79,5.07,0.565,0.425,0.440,0.781,,,,,
hiked,0.43,0.84,3.73,5.13,0.506,0.483,0.412,0.790,,,,,
hires,0.7,1.13,3.17,6.06,0.824,0.649,0.153,0.935,,,,,
hoagy,0.45,0.7,3.85,5,0.529,0.402,0.468,0.770,,,,,
holed,0.54,0.99,3.47,5.65,0.635,0.569,0.292,0.871,,,,,
hooch,0.38,0.29,4.34,3.47,0.447,0.167,0.694,0.533,,,,,
hoots,0.64,0.63,3.73,5.06,0.753,0.362,0.412,0.780,,,,,
hubby,0.25,0.31,4.44,3.71,0.294,0.178,0.741,0.570,,,,,
idled,0.36,0.97,3.67,4.55,0.424,0.557,0.384,0.700,,,,,
ileum,0.2,1.24,3.57,4.76,0.235,0.713,0.338,0.733,,,,,
inapt,0.26,1.1,3.64,4.97,0.306,0.632,0.370,0.766,,,,,
infra,0.13,1.24,3.62,4.66,0.153,0.713,0.361,0.717,,,,,
inset,0.36,1.49,3.15,5.47,0.424,0.856,0.144,0.843,,,,,
jacky,0.35,0.5,4.15,4.33,0.412,0.287,0.606,0.666,,,,,
jager,0.47,0.99,3.54,5.02,0.553,0.569,0.324,0.773,,,,,
jakes,0.66,0.93,3.41,5.4,0.776,0.534,0.264,0.832,,,,,
jeans,0.59,1.14,3.27,5.47,0.694,0.655,0.199,0.843,,,,,
jeers,0.54,0.89,3.57,4.62,0.635,0.511,0.338,0.711,,,,,
jerks,0.52,1,3.48,5.16,0.612,0.575,0.296,0.795,,,,,
jibes,0.61,0.87,3.53,5.16,0.718,0.500,0.319,0.795,,,,,
joked,0.46,0.73,3.81,4.8,0.541,0.420,0.449,0.739,,,,,
junks,0.47,0.55,3.98,4.75,0.553,0.316,0.528,0.731,,,,,
kazoo,0.25,0.61,4.14,3.64,0.294,0.351,0.602,0.559,,,,,
kebob,0.2,0.9,3.9,3.86,0.235,0.517,0.491,0.593,,,,,
kelly,0.37,0.71,3.93,4.45,0.435,0.408,0.505,0.685,,,,,
kelts,0.54,1.2,3.26,5.74,0.635,0.690,0.194,0.885,,,,,
kerry,0.38,0.75,3.87,4.55,0.447,0.431,0.477,0.700,,,,,
kiang,0.32,0.82,3.86,4.83,0.376,0.471,0.472,0.744,,,,,
kilts,0.53,0.94,3.54,5.61,0.624,0.540,0.324,0.865,,,,,
knobs,0.41,0.88,3.71,4.95,0.482,0.506,0.403,0.762,,,,,
knots,0.48,0.97,3.55,5.35,0.565,0.557,0.329,0.825,,,,,
kooks,0.57,0.37,4.07,4.17,0.671,0.213,0.569,0.641,,,,,
kraft,0.31,0.94,3.75,4.77,0.365,0.540,0.421,0.734,,,,,
kraut,0.32,1,3.68,5.06,0.376,0.575,0.389,0.780,,,,,
laces,0.71,1.25,3.03,6.13,0.835,0.718,0.088,0.946,,,,,
lairs,0.65,1.21,3.14,6.14,0.765,0.695,0.139,0.947,,,,,
lasts,0.61,0.91,3.49,5.28,0.718,0.523,0.301,0.814,,,,,
leans,0.63,1.38,2.99,6.2,0.741,0.793,0.069,0.957,,,,,
leary,0.45,1.31,3.25,5.8,0.529,0.753,0.190,0.894,,,,,
lemme,0.37,0.63,4.01,3.79,0.435,0.362,0.542,0.582,,,,,
leone,0.47,0.94,3.59,4.86,0.553,0.540,0.347,0.748,,,,,
levee,0.53,0.38,4.09,3.73,0.624,0.218,0.579,0.573,,,,,
levin,0.29,1.13,3.59,4.95,0.341,0.649,0.347,0.762,,,,,
liars,0.6,1.26,3.14,6.06,0.706,0.724,0.139,0.935,,,,,
liber,0.44,1.16,3.4,5.53,0.518,0.667,0.259,0.852,,,,,
liens,0.57,1.29,3.13,5.97,0.671,0.741,0.134,0.921,,,,,
lifer,0.43,1.15,3.43,5.35,0.506,0.661,0.273,0.825,,,,,
ligne,0.39,1.09,3.52,5.29,0.459,0.626,0.315,0.815,,,,,
limps,0.49,0.89,3.63,5.41,0.576,0.511,0.366,0.834,,,,,
lindy,0.37,0.77,3.86,5.23,0.435,0.443,0.472,0.806,,,,,
lisle,0.4,1.23,3.37,5.01,0.471,0.707,0.245,0.772,,,,,
lobar,0.35,1.18,3.47,5.35,0.412,0.678,0.292,0.825,,,,,
longs,0.58,0.91,3.51,5.65,0.682,0.523,0.310,0.871,,,,,
looky,0.44,0.41,4.15,4.47,0.518,0.236,0.606,0.688,,,,,
loops,0.6,0.69,3.71,5.03,0.706,0.397,0.403,0.775,,,,,
loped,0.51,1.02,3.47,5.61,0.600,0.586,0.292,0.865,,,,,
lotte,0.47,0.99,3.54,4.99,0.553,0.569,0.324,0.769,,,,,
lotus,0.55,1.04,3.41,5.72,0.647,0.598,0.264,0.882,,,,,
lovie,0.42,1.09,3.49,5.2,0.494,0.626,0.301,0.801,,,,,
lucks,0.46,0.8,3.74,5.19,0.541,0.460,0.417,0.800,,,,,
